Date,Year,Month,Deaths
2003-01-01,2003,Jan,80764
2003-02-01,2003,Feb,75269
2003-03-01,2003,Mar,81679
2003-04-01,2003,Apr,81268
2003-05-01,2003,May,85618
2003-06-01,2003,Jun,84294
2003-07-01,2003,Jul,91536
2003-08-01,2003,Aug,87350
2003-09-01,2003,Sep,83910
2003-10-01,2003,Oct,82525
2003-11-01,2003,Nov,78160
2003-12-01,2003,Dec,81312
2004-01-01,2004,Jan,81124
2004-02-01,2004,Feb,78785
2004-03-01,2004,Mar,87148
2004-04-01,2004,Apr,83009
2004-05-01,2004,May,87719
2004-06-01,2004,Jun,89428
2004-07-01,2004,Jul,90104
2004-08-01,2004,Aug,90119
2004-09-01,2004,Sep,82994
2004-10-01,2004,Oct,84144
2004-11-01,2004,Nov,78164
2004-12-01,2004,Dec,80919
2005-01-01,2005,Jan,82436
2005-02-01,2005,Feb,75259
2005-03-01,2005,Mar,83160
2005-04-01,2005,Apr,80443
2005-05-01,2005,May,86690
2005-06-01,2005,Jun,84605
2005-07-01,2005,Jul,91766
2005-08-01,2005,Aug,86703
2005-09-01,2005,Sep,80477
2005-10-01,2005,Oct,84264
2005-11-01,2005,Nov,78644
2005-12-01,2005,Dec,82484
2006-01-01,2006,Jan,85412
2006-02-01,2006,Feb,73832
2006-03-01,2006,Mar,82549
2006-04-01,2006,Apr,82272
2006-05-01,2006,May,92851
2006-06-01,2006,Jun,91048
2006-07-01,2006,Jul,94297
2006-08-01,2006,Aug,89347
2006-09-01,2006,Sep,85137
2006-10-01,2006,Oct,83464
2006-11-01,2006,Nov,79912
2006-12-01,2006,Dec,83693
2007-01-01,2007,Jan,83822
2007-02-01,2007,Feb,76329
2007-03-01,2007,Mar,85968
2007-04-01,2007,Apr,83725
2007-05-01,2007,May,90291
2007-06-01,2007,Jun,92438
2007-07-01,2007,Jul,95805
2007-08-01,2007,Aug,91579
2007-09-01,2007,Sep,84526
2007-10-01,2007,Oct,85499
2007-11-01,2007,Nov,80223
2007-12-01,2007,Dec,86200
2008-01-01,2008,Jan,86011
2008-02-01,2008,Feb,80693
2008-03-01,2008,Mar,86550
2008-04-01,2008,Apr,85907
2008-05-01,2008,May,92370
2008-06-01,2008,Jun,91802
2008-07-01,2008,Jul,96190
2008-08-01,2008,Aug,91182
2008-09-01,2008,Sep,88466
2008-10-01,2008,Oct,91488
2008-11-01,2008,Nov,82996
2008-12-01,2008,Dec,86710
2009-01-01,2009,Jan,87934
2009-02-01,2009,Feb,79137
2009-03-01,2009,Mar,89089
2009-04-01,2009,Apr,86604
2009-05-01,2009,May,92983
2009-06-01,2009,Jun,94296
2009-07-01,2009,Jul,99700
2009-08-01,2009,Aug,97532
2009-09-01,2009,Sep,89130
2009-10-01,2009,Oct,89937
2009-11-01,2009,Nov,87655
2009-12-01,2009,Dec,89402
2010-01-01,2010,Jan,92221
2010-02-01,2010,Feb,86889
2010-03-01,2010,Mar,91176
2010-04-01,2010,Apr,89064
2010-05-01,2010,May,94595
2010-06-01,2010,Jun,96198
2010-07-01,2010,Jul,98089
2010-08-01,2010,Aug,99350
2010-09-01,2010,Sep,94099
2010-10-01,2010,Oct,93679
2010-11-01,2010,Nov,88146
2010-12-01,2010,Dec,94169
2011-01-01,2011,Jan,99917
2011-02-01,2011,Feb,87009
2011-03-01,2011,Mar,95276
2011-04-01,2011,Apr,91653
2011-05-01,2011,May,98561
2011-06-01,2011,Jun,100962
2011-07-01,2011,Jul,104849
2011-08-01,2011,Aug,98929
2011-09-01,2011,Sep,93662
2011-10-01,2011,Oct,94130
2011-11-01,2011,Nov,89646
2011-12-01,2011,Dec,93571
2012-01-01,2012,Jan,92690
2012-02-01,2012,Feb,88173
2012-03-01,2012,Mar,92398
2012-04-01,2012,Apr,91245
2012-05-01,2012,May,99290
2012-06-01,2012,Jun,99070
2012-07-01,2012,Jul,106979
2012-08-01,2012,Aug,100465
2012-09-01,2012,Sep,97455
2012-10-01,2012,Oct,99486
2012-11-01,2012,Nov,91417
2012-12-01,2012,Dec,98546
2013-01-01,2013,Jan,95446
2013-02-01,2013,Feb,87492
2013-03-01,2013,Mar,97140
2013-04-01,2013,Apr,96305
2013-05-01,2013,May,103048
2013-06-01,2013,Jun,101101
2013-07-01,2013,Jul,108589
2013-08-01,2013,Aug,105831
2013-09-01,2013,Sep,99099
2013-10-01,2013,Oct,97609
2013-11-01,2013,Nov,92456
2013-12-01,2013,Dec,96680
2014-01-01,2014,Jan,99980
2014-02-01,2014,Feb,93093
2014-03-01,2014,Mar,96487
2014-04-01,2014,Apr,94451
2014-05-01,2014,May,102628
2014-06-01,2014,Jun,102621
2014-07-01,2014,Jul,104332
2014-08-01,2014,Aug,106225
2014-09-01,2014,Sep,99771
2014-10-01,2014,Oct,102676
2014-11-01,2014,Nov,93784
2014-12-01,2014,Dec,98116
2015-01-01,2015,Jan,104045
2015-02-01,2015,Feb,87956
2015-03-01,2015,Mar,99836
2015-04-01,2015,Apr,102191
2015-05-01,2015,May,111355
2015-06-01,2015,Jun,106899
2015-07-01,2015,Jul,110469
2015-08-01,2015,Aug,104752
2015-09-01,2015,Sep,100332
2015-10-01,2015,Oct,101913
2015-11-01,2015,Nov,98019
2015-12-01,2015,Dec,103633
2016-01-01,2016,Jan,102884
2016-02-01,2016,Feb,99931
2016-03-01,2016,Mar,108711
2016-04-01,2016,Apr,109295
2016-05-01,2016,May,112709
2016-06-01,2016,Jun,114202
2016-07-01,2016,Jul,115376
2016-08-01,2016,Aug,108070
2016-09-01,2016,Sep,100379
2016-10-01,2016,Oct,104559
2016-11-01,2016,Nov,96607
2016-12-01,2016,Dec,101907
2017-01-01,2017,Jan,102883
2017-02-01,2017,Feb,94061
2017-03-01,2017,Mar,105762
2017-04-01,2017,Apr,104145
2017-05-01,2017,May,111944
2017-06-01,2017,Jun,111401
2017-07-01,2017,Jul,119851
2017-08-01,2017,Aug,112116
2017-09-01,2017,Sep,104895
2017-10-01,2017,Oct,106524
2017-11-01,2017,Nov,99215
2017-12-01,2017,Dec,104782
2018-01-01,2018,Jan,104098
2018-02-01,2018,Feb,91992
2018-03-01,2018,Mar,106467
2018-04-01,2018,Apr,105236
2018-05-01,2018,May,112180
2018-06-01,2018,Jun,114413
2018-07-01,2018,Jul,117129
2018-08-01,2018,Aug,112573
2018-09-01,2018,Sep,106568
2018-10-01,2018,Oct,104866
2018-11-01,2018,Nov,100527
2018-12-01,2018,Dec,107447
2019-01-01,2019,Jan,107740
2019-02-01,2019,Feb,95468
2019-03-01,2019,Mar,107161
2019-04-01,2019,Apr,107595
2019-05-01,2019,May,115952
2019-06-01,2019,Jun,116373
2019-07-01,2019,Jul,122306
2019-08-01,2019,Aug,116104
2019-09-01,2019,Sep,109720
2019-10-01,2019,Oct,108788
2019-11-01,2019,Nov,102754
2019-12-01,2019,Dec,107331
2020-01-01,2020,Jan,111511
2020-02-01,2020,Feb,93426
2020-03-01,2020,Mar,107106
2020-04-01,2020,Apr,114700
2020-05-01,2020,May,132315
2020-06-01,2020,Jun,135620
2020-07-01,2020,Jul,139855
2020-08-01,2020,Aug,131864
2020-09-01,2020,Sep,125781
2020-10-01,2020,Oct,122064
2020-11-01,2020,Nov,114006
2020-12-01,2020,Dec,129234
2021-01-01,2021,Jan,134670
2021-02-01,2021,Feb,123679
2021-03-01,2021,Mar,186656
2021-04-01,2021,Apr,184664
